date,valeur
2023-12-15,108.6159
2023-12-18,108.5863
2023-12-19,108.8057
2023-12-20,108.7805
2023-12-21,108.5853
2023-12-22,108.8633
2023-12-27,109.1133
2023-12-28,109.1231
2023-12-29,109.1533
2024-01-02,109.0262
2024-01-03,108.6023
2024-01-04,108.8856
2024-01-05,108.8776
2024-01-08,109.1337
2024-01-09,109.1334
2024-01-10,109.2033
2024-01-11,108.7305
2024-01-12,109.2916
2024-01-15,109.3632
2024-01-16,109.257
2024-01-17,108.7527
2024-01-18,109.3445
2024-01-19,109.7894
2024-01-22,110.4222
2024-01-23,110.3356
2024-01-24,111.1806
2024-01-25,111.0694
2024-01-26,111.1504
2024-01-29,111.049
2024-01-30,111.3683
2024-01-31,111.0953
2024-02-01,110.7686
2024-02-02,111.3593
2024-02-05,111.386
2024-02-06,111.6893
2024-02-07,111.835
2024-02-08,111.9512
2024-02-09,112.1247
2024-02-12,112.7371
2024-02-13,111.9324
2024-02-14,112.2797
2024-02-15,112.6182
2024-02-16,112.8612
2024-02-19,112.7587
2024-02-20,112.451
2024-02-21,112.3991
2024-02-22,113.576
2024-02-23,113.7682
2024-02-26,113.6844
2024-02-27,113.5863
2024-02-28,113.4545
2024-02-29,113.4978
2024-03-01,114.3713
2024-03-04,114.6604
2024-03-05,114.3415
2024-03-06,114.9351
2024-03-07,115.4044
2024-03-08,115.1772
2024-03-11,114.7053
2024-03-12,115.3169
2024-03-13,115.2481
2024-03-14,115.01
2024-03-15,114.9143
2024-03-18,115.2778
2024-03-19,115.3392
2024-03-20,115.4608
2024-03-21,116.5886
2024-03-22,116.4526
2024-03-25,116.505
2024-03-26,116.6426
2024-03-27,116.642
2024-03-28,117.097
2024-04-02,116.8319
2024-04-03,117.1207
2024-04-04,117.2739
2024-04-05,116.4987
2024-04-08,116.8517
2024-04-09,116.4597
2024-04-10,116.3471
2024-04-11,116.3422
2024-04-12,116.2197
2024-04-15,116.264
2024-04-16,115.1386
2024-04-17,114.9309
2024-04-18,115.1372
2024-04-19,114.5381
2024-04-22,114.6583
2024-04-23,115.7231
2024-04-24,115.6801
2024-04-25,115.3104
2024-04-26,116.193
2024-04-29,116.3997
2024-04-30,116.042
2024-05-02,115.6452
2024-05-03,116.3239
2024-05-06,116.8232
2024-05-07,117.3491
2024-05-08,117.3067
2024-05-09,117.3096
2024-05-10,117.5542
2024-05-13,117.6447
2024-05-14,117.8331
2024-05-15,118.5288
2024-05-16,118.7067
2024-05-17,118.6403
2024-05-20,118.952
2024-05-21,118.7734
2024-05-22,118.8566
2024-05-23,118.9863
2024-05-24,118.9238
2024-05-27,119.0503
2024-05-28,118.9411
2024-05-29,118.1569
2024-05-30,118.3048
2024-05-31,117.7179
2024-06-03,118.488
2024-06-04,117.702
2024-06-05,118.7305
2024-06-06,119.1746
2024-06-07,119.1955
2024-06-10,119.3294
2024-06-11,118.9157
2024-06-12,119.8433
2024-06-13,119.2471
2024-06-14,119.1274
2024-06-17,119.4969
2024-06-18,120.1308
2024-06-19,120.3015
2024-06-20,120.4381
2024-06-21,119.8968
2024-06-24,120.2558
2024-06-25,119.9284
2024-06-26,119.8184
2024-06-27,119.9399
2024-06-28,120.2987
2024-07-01,120.1829
2024-07-02,120.1895
2024-07-03,120.8899
2024-07-04,121.1539
2024-07-05,121.149
2024-07-08,121.4268
2024-07-09,121.3274
2024-07-10,121.9025
2024-07-11,121.8805
2024-07-12,122.2207
2024-07-15,122.1041
2024-07-16,122.1001
2024-07-17,121.4332
2024-07-18,120.8644
2024-07-19,120.2909
2024-07-22,120.6855
2024-07-23,121.2127
2024-07-24,120.1813
2024-07-25,119.7339
2024-07-26,119.8585
2024-07-29,119.7764
2024-07-30,119.8631
2024-07-31,120.9261
2024-08-01,119.6472
2024-08-02,117.1523
2024-08-05,115.4696
2024-08-06,115.686
2024-08-07,116.8021
2024-08-08,116.7301
2024-08-09,117.0392
2024-08-12,117.2094
2024-08-13,117.5867
2024-08-14,117.9155
2024-08-15,118.8083
2024-08-16,119.0089
2024-08-19,119.4074
2024-08-20,119.2819
2024-08-21,119.4304
2024-08-22,119.2651
2024-08-23,119.7591
2024-08-26,119.3524
2024-08-27,119.4228
2024-08-28,119.3577
2024-08-29,119.969
2024-08-30,119.8188
2024-09-02,120.2787
2024-09-03,119.1566
2024-09-04,118.5447
2024-09-05,118.1786
2024-09-06,116.9654
2024-09-09,117.6193
2024-09-10,117.5478
2024-09-11,117.2349
2024-09-12,118.2939
2024-09-13,118.7756
2024-09-16,118.7174
2024-09-17,119.0256
2024-09-18,118.7823
2024-09-19,119.4837
2024-09-20,119.2624
2024-09-23,119.4259
2024-09-24,119.6384
2024-09-25,119.5307
2024-09-26,120.0528
2024-09-27,120.0483
2024-09-30,119.5392
2024-10-01,119.0311
2024-10-02,119.4211
2024-10-03,119.1302
2024-10-04,119.4697
2024-10-07,119.8899
2024-10-08,119.9257
2024-10-09,120.3972
2024-10-10,120.4309
2024-10-11,120.8193
2024-10-14,121.3816
2024-10-15,120.9838
2024-10-16,120.833
2024-10-17,121.4199
2024-10-18,121.4801
2024-10-21,120.8046
2024-10-22,120.8668
2024-10-23,120.5628
2024-10-24,120.5663
2024-10-25,120.8193
2024-10-28,120.8555
2024-10-29,120.8656
2024-10-30,120.4721
2024-10-31,119.3234
2024-11-01,120.0249
2024-11-04,119.8535
2024-11-05,120.2334
2024-11-06,120.5755
2024-11-07,121.2502
2024-11-08,121.2469
2024-11-11,121.5912
2024-11-12,121.0327
2024-11-13,120.9441
2024-11-14,121.2012
2024-11-15,120.426
2024-11-18,120.8296
2024-11-19,120.5868
2024-11-20,120.354
2024-11-21,120.953
2024-11-22,121.3346
2024-11-25,121.3936
2024-11-26,121.361
2024-11-27,121.0981
2024-11-28,121.2275
2024-11-29,121.4704
2024-12-02,121.6694
2024-12-03,121.8635
2024-12-04,122.1528
2024-12-05,122.5245
2024-12-06,122.3519
2024-12-09,122.3104
2024-12-10,122.1733
2024-12-11,122.3375
2024-12-12,122.2954
2024-12-13,122.2114
2024-12-16,122.1
2024-12-17,121.8029
2024-12-18,121.9886
2024-12-19,120.6594
2024-12-20,120.8104
2024-12-23,120.5731
2024-12-27,121.0715
2024-12-30,120.7037
2025-01-02,121.2933
2025-01-03,121.5318
2025-01-06,122.6347
2025-01-07,122.1142
2025-01-08,121.8714
2025-01-09,122.0239
2025-01-10,121.1292
2025-01-13,120.9911
2025-01-14,121.4234
2025-01-15,122.2987
2025-01-16,122.8079
2025-01-17,123.3729
2025-01-20,123.7107
2025-01-21,123.5686
2025-01-22,124.0601
2025-01-23,124.0727
2025-01-24,124.1861
2025-01-27,122.5616
2025-01-28,122.8217
2025-01-29,123.3898
2025-01-30,123.947
2025-01-31,124.4072
2025-02-03,123.6077
2025-02-04,124.0654
2025-02-05,124.0882
2025-02-06,124.7872
2025-02-07,124.4827
2025-02-10,124.9146
2025-02-11,125.19
2025-02-12,124.83
2025-02-13,125.3
2025-02-14,125.2222
2025-02-17,125.4834
2025-02-18,125.8094
2025-02-19,125.8421
2025-02-20,125.6371
2025-02-21,125.5309
2025-02-24,125.0846
2025-02-25,124.4955
2025-02-26,125.3467
2025-02-27,124.8727
2025-02-28,124.1502
2025-03-03,124.8559
2025-03-04,123.3491
2025-03-05,123.6495
2025-03-06,124.0752
2025-03-07,123.5167
2025-03-10,123.1048
2025-03-11,122.234
2025-03-12,122.5951
2025-03-13,122.2679
2025-03-14,122.9778
2025-03-17,123.4004
2025-03-18,123.613
2025-03-19,123.708
2025-03-20,123.4898
2025-03-21,123.5351
2025-03-24,123.6526
2025-03-25,123.8425
2025-03-26,123.8483
2025-03-27,123.7907
2025-03-28,123.5546
2025-03-31,123.4117
2025-04-01,123.6524
2025-04-02,123.5528
2025-04-03,122.8489
2025-04-04,121.6574
2025-04-07,120.8771
2025-04-08,121.0887
2025-04-09,120.9473
2025-04-10,121.3646
2025-04-11,121.3601
2025-04-14,121.634
2025-04-15,121.7863
2025-04-16,121.8624
2025-04-17,121.8087
2025-04-22,121.9033
2025-04-23,122.1153
2025-04-24,122.0922
2025-04-25,122.1788
2025-04-28,122.3116
2025-04-29,122.3497
2025-04-30,122.2555
