date,valeur
2023-07-26,106.4062
2023-07-27,106.9742
2023-07-28,107.179
2023-07-31,107.0623
2023-08-01,106.8578
2023-08-02,106.085
2023-08-03,105.9506
2023-08-04,106.1809
2023-08-07,106.052
2023-08-08,105.4508
2023-08-09,105.6461
2023-08-10,105.9811
2023-08-11,105.3877
2023-08-14,105.5782
2023-08-15,105.3281
2023-08-16,105.2095
2023-08-17,104.8181
2023-08-18,104.5137
2023-08-21,104.7089
2023-08-22,104.9842
2023-08-23,105.2931
2023-08-24,105.0513
2023-08-25,104.9225
2023-08-28,105.4252
2023-08-29,105.9391
2023-08-30,106.0733
2023-08-31,105.9416
2023-09-01,106.0758
2023-09-04,106.2473
2023-09-05,106.1083
2023-09-06,105.6733
2023-09-07,105.4319
2023-09-08,105.6052
2023-09-11,105.6983
2023-09-12,105.7248
2023-09-13,105.7865
2023-09-14,106.2859
2023-09-15,106.1605
2023-09-18,105.8365
2023-09-19,105.6576
2023-09-20,106.0354
2023-09-21,105.1727
2023-09-22,105.1947
2023-09-25,104.9949
2023-09-26,104.6095
2023-09-27,104.6662
2023-09-28,105.0378
2023-09-29,105.1225
2023-10-02,104.8221
2023-10-03,104.2351
2023-10-04,104.2195
2023-10-05,104.2573
2023-10-06,104.7075
2023-10-09,104.6428
2023-10-10,105.4842
2023-10-11,105.506
2023-10-12,105.5757
2023-10-13,105.1879
2023-10-16,105.5597
2023-10-17,105.4497
2023-10-18,104.9561
2023-10-19,104.6524
2023-10-20,103.8112
2023-10-23,103.7282
2023-10-24,103.6036
2023-10-25,103.633
2023-10-26,103.5282
2023-10-27,103.6257
2023-10-30,103.57
2023-10-31,103.5922
2023-11-01,103.788
2023-11-02,104.102
2023-11-03,104.3677
2023-11-06,104.309
2023-11-07,104.3913
2023-11-08,104.2635
2023-11-09,104.5451
2023-11-10,104.4933
2023-11-13,104.8551
2023-11-14,105.657
2023-11-15,105.7106
2023-11-16,105.4825
2023-11-17,105.7619
2023-11-20,105.9479
2023-11-21,105.8152
2023-11-22,106.0339
2023-11-23,106.1474
2023-11-24,106.1069
2023-11-27,105.9613
2023-11-28,106.0535
2023-11-29,106.1041
2023-11-30,106.124
2023-12-01,106.5799
2023-12-04,106.5311
2023-12-05,106.5852
2023-12-06,106.796
2023-12-07,106.8522
2023-12-08,107.0771
2023-12-11,107.4694
2023-12-12,107.584
2023-12-13,107.6525
2023-12-14,108.2016
2023-12-15,108.1807
2023-12-18,108.1604
2023-12-19,108.344
2023-12-20,108.3245
2023-12-21,108.164
2023-12-22,108.3963
2023-12-27,108.6112
2023-12-28,108.6207
2023-12-29,108.6472
2024-01-02,108.5476
2024-01-03,108.1973
2024-01-04,108.434
2024-01-05,108.4289
2024-01-08,108.6459
2024-01-09,108.647
2024-01-10,108.7065
2024-01-11,108.3156
2024-01-12,108.7829
2024-01-15,108.8467
2024-01-16,108.7601
2024-01-17,108.3431
2024-01-18,108.8361
2024-01-19,109.2067
2024-01-22,109.7357
2024-01-23,109.6655
2024-01-24,110.3671
2024-01-25,110.2766
2024-01-26,110.345
2024-01-29,110.2655
2024-01-30,110.5313
2024-01-31,110.307
2024-02-01,110.038
2024-02-02,110.5286
2024-02-05,110.5552
2024-02-06,110.8076
2024-02-07,110.9296
2024-02-08,111.0272
2024-02-09,111.1721
2024-02-12,111.6828
2024-02-13,111.0198
2024-02-14,111.3085
2024-02-15,111.5896
2024-02-16,111.7918
2024-02-19,111.7118
2024-02-20,111.4591
2024-02-21,111.4178
2024-02-22,112.3917
2024-02-23,112.5517
2024-02-26,112.4872
2024-02-27,112.4078
2024-02-28,112.3006
2024-02-29,112.3378
2024-03-01,113.0601
2024-03-04,113.3029
2024-03-05,113.0418
2024-03-06,113.5325
2024-03-07,113.9205
2024-03-08,113.735
2024-03-11,113.3512
2024-03-12,113.8565
2024-03-13,113.8013
2024-03-14,113.6069
2024-03-15,113.5297
2024-03-18,113.8336
2024-03-19,113.8857
2024-03-20,113.9873
2024-03-21,114.9168
2024-03-22,114.8067
2024-03-25,114.8545
2024-03-26,114.969
2024-03-27,114.9701
2024-03-28,115.3455
2024-04-02,115.1357
2024-04-03,115.3746
2024-04-04,115.5019
2024-04-05,114.867
2024-04-08,115.1618
2024-04-09,114.8413
2024-04-10,114.7503
2024-04-11,114.7478
2024-04-12,114.6486
2024-04-15,114.6898
2024-04-16,113.766
2024-04-17,113.5964
2024-04-18,113.7679
2024-04-19,113.276
2024-04-22,113.3796
2024-04-23,114.2589
2024-04-24,114.225
2024-04-25,113.9223
2024-04-26,114.6507
2024-04-29,114.8253
2024-04-30,114.5328
2024-05-02,114.2094
2024-05-03,114.7697
2024-05-06,115.1849
2024-05-07,115.6186
2024-05-08,115.5854
2024-05-09,115.5893
2024-05-10,115.7918
2024-05-13,115.8707
2024-05-14,116.027
2024-05-15,116.5996
2024-05-16,116.747
2024-05-17,116.6942
2024-05-20,116.9544
2024-05-21,116.8097
2024-05-22,116.8794
2024-05-23,116.9874
2024-05-24,116.9378
2024-05-27,117.0462
2024-05-28,116.9583
2024-05-29,116.317
2024-05-30,116.44
2024-05-31,115.9601
2024-06-03,116.5971
2024-06-04,115.9539
2024-06-05,116.8
2024-06-06,117.1658
2024-06-07,117.1844
2024-06-10,117.299
2024-06-11,116.9615
2024-06-12,117.7236
2024-06-13,117.237
2024-06-14,117.1405
2024-06-17,117.4481
2024-06-18,117.969
2024-06-19,118.1104
2024-06-20,118.2237
2024-06-21,117.7823
2024-06-24,118.081
2024-06-25,117.8147
2024-06-26,117.7262
2024-06-27,117.8273
2024-06-28,118.1227
2024-07-01,118.0328
2024-07-02,118.0397
2024-07-03,118.6147
2024-07-04,118.8322
2024-07-05,118.8298
2024-07-08,119.0618
2024-07-09,118.9821
2024-07-10,119.4539
2024-07-11,119.4375
2024-07-12,119.7169
2024-07-15,119.6266
2024-07-16,119.6249
2024-07-17,119.0818
2024-07-18,118.6184
2024-07-19,118.1509
2024-07-22,118.4788
2024-07-23,118.9117
2024-07-24,118.07
2024-07-25,117.7052
2024-07-26,117.8088
2024-07-29,117.7463
2024-07-30,117.8189
2024-07-31,118.6915
2024-08-01,117.6467
2024-08-02,115.6034
2024-08-05,114.224
2024-08-06,114.4039
2024-08-07,115.3254
2024-08-08,115.2677
2024-08-09,115.5237
2024-08-12,115.6684
2024-08-13,115.9803
2024-08-14,116.2521
2024-08-15,116.9873
2024-08-16,117.1535
2024-08-19,117.4853
2024-08-20,117.3839
2024-08-21,117.5073
2024-08-22,117.3733
2024-08-23,117.7801
2024-08-26,117.4514
2024-08-27,117.5107
2024-08-28,117.4589
2024-08-29,117.9619
2024-08-30,117.8404
2024-09-02,118.2222
2024-09-03,117.3043
2024-09-04,116.8038
2024-09-05,116.5048
2024-09-06,115.5094
2024-09-09,116.0523
2024-09-10,115.995
2024-09-11,115.7393
2024-09-12,116.6122
2024-09-13,117.0096
2024-09-16,116.9665
2024-09-17,117.2212
2024-09-18,117.023
2024-09-19,117.6006
2024-09-20,117.4206
2024-09-23,117.5595
2024-09-24,117.7355
2024-09-25,117.6487
2024-09-26,118.0787
2024-09-27,118.0765
2024-09-30,117.6639
2024-10-01,117.2485
2024-10-02,117.5704
2024-10-03,117.3332
2024-10-04,117.6135
2024-10-07,117.9631
2024-10-08,117.9941
2024-10-09,118.3824
